"","zip","FirstDose","SecondDose","SingleDose","AtleastOneDose","FullyVaccinated","todays_date"
"1","20906",60741,54180,2545,63286,56725,2022-04-28
"2","20878",55376,50013,3461,58837,53474,2022-04-28
"3","20874",49195,44444,3417,52612,47861,2022-04-28
"4","21234",45897,42635,3071,48968,45706,2022-04-28
"5","20904",47005,41831,1733,48738,43564,2022-04-28
"6","20854",44820,39475,2145,46965,41620,2022-04-28
"7","20850",43060,38546,2553,45613,41099,2022-04-28
"8","21122",40413,37454,3265,43678,40719,2022-04-28
"9","20902",43582,38551,1961,45543,40512,2022-04-28
"10","21117",41668,38020,2433,44101,40453,2022-04-28
"11","21043",41207,38107,2162,43369,40269,2022-04-28
"12","21228",39221,36543,2573,41794,39116,2022-04-28
"13","21042",38434,35544,2076,40510,37620,2022-04-28
"14","21224",37387,33111,3840,41227,36951,2022-04-28
"15","20852",39309,34476,1927,41236,36403,2022-04-28
"16","21061",35791,32639,2693,38484,35332,2022-04-28
"17","20774",37263,33091,1586,38849,34677,2022-04-28
"18","21044",35498,32687,1812,37310,34499,2022-04-28
"19","21222",33442,30458,3682,37124,34140,2022-04-28
"20","21215",33953,30379,2108,36061,32487,2022-04-28
"21","21740",30432,27560,4897,35329,32457,2022-04-28
"22","21093",32519,30347,1933,34452,32280,2022-04-28
"23","20772",34575,30799,1451,36026,32250,2022-04-28
"24","21702",31684,28662,2604,34288,31266,2022-04-28
"25","20910",34159,29492,1702,35861,31194,2022-04-28
